% Model,rectangularwaveguide.mph
% Version,COMSOL 5.3.0.316
% Date,"Aug 9 2021, 15:53"
% Table,Probe Table 1 - 
% wvln (nm),lambda,Effective mode index (1)
1518,-2.4060915992486247E-9-5778354.173679898i,1.3960342098983516-5.813050020367603E-16i
1518,-1.2388205970985931E-9-5778660.9400429875i,1.3961083237938394-2.9929559204830836E-16i
1518,-5794255.269209609i,1.3998758701128555
1518,-5794255.398712738i,1.3998759014004494
1518,-5802994.318942173i,1.4019872000905562
1518,-5802994.596313691i,1.4019872671027394
1518,-5804469.963599555i,1.4023437117133195
1518,-5805769.327468289i,1.4026576343904928
1518,-5806925.323448604i,1.4029369197867352
1518,-5808395.12632009i,1.4032920200503618
1519,-3.748925459283242E-9-5774262.979982522i,1.395964791437599-9.063265675681567E-16i
1519,-1.5328258264610093E-9-5774570.318227647i,1.396039092412588-3.7057039011969017E-16i
1519,-5790169.821280477i,1.3998103714660648
1519,-5790169.95108535i,1.399810402847218
1519,-5798920.003011412i,1.401925783538118
1519,-5798920.280111703i,1.4019258505288754
1519,-5800391.953984884i,1.402281637045451
1519,-5801693.850406287i,1.4025963787835183
1519,-5802850.361353075i,1.4028759726586544
1519,-5804323.061052919i,1.4032320071753486
1519.9999999999998,-5.737660430245114E-9-5770176.99063384i,1.3958953297221324-1.3880290693181749E-15i
1519.9999999999998,-2.309156549681401E-9-5770484.901410271i,1.3959698181157276-5.586207924868983E-16i
1519.9999999999998,-5786089.573638841i,1.3997448304110285
1519.9999999999998,-5786089.703745281i,1.3997448618857948
1519.9999999999998,-5794850.89314125i,1.4018643295174629
1519.9999999999998,-5794851.169970822i,1.4018643964868307
1519.9999999999998,-5796319.144327434i,1.4022195222571274
1519.9999999999998,-5797623.576601841i,1.402535084660627
1519.9999999999998,-5798780.600592984i,1.4028149867135857
1519.9999999999998,-5800256.200943405i,1.4031719573300907
1521,-2.145346746475767E-8-5766096.1953723505i,1.3958258247527966-5.193341023660969E-15i
1521,-2.9275731718895034E-9-5766404.679329521i,1.3959005009044512-7.086913049519364E-16i
1521,-5782014.516029333i,1.3996792469481363
1521,-5782014.646437164i,1.399679278516569
1521,-5790786.979071979i,1.401802838030686
1521,-5790787.255631338i,1.4018029049787009
1521,-5792251.524368146i,1.4021573673476875
1521,-5793558.49579831i,1.4024737520233195
1521,-5794716.030907872i,1.4027539619511875
1521,-5796194.535733686i,1.4031118705166998
1521.9999999999998,-7.390268525957414E-8-5762020.583963547i,1.3957562765304414-1.7901730009535996E-14i
1521.9999999999998,1.5394888316554477E-8-5762329.641750925i,1.395831140779928+3.729162657648016E-15i
1521.9999999999998,-5777944.638223546i,1.39961362107778
1521.9999999999998,-5777944.768932593i,1.3996136527399323
1521.9999999999998,-5786728.250570836i,1.4017413090798778
1521.9999999999998,-5786728.526860485i,1.401741376006576
1521.9999999999998,-5788189.083874912i,1.402095172316466
1521.9999999999998,-5789498.59776601i,1.4024123808730948
1521.9999999999998,-5790656.642064234i,1.4026928983711138
1521.9999999999998,-5792138.055192852i,1.4030517467372854
1523,-1.0952879025292166E-7-5757950.146199662i,1.3956866850558836-2.6549009683103388E-14i
1523,-5758259.778467059i,1.3957617377433673
1523,-5773879.930019936i,1.3995479528003514
1523,-5773880.061030021i,1.3995479845562762
1523,-5782674.697431908i,1.4016797426671244
1523,-5782674.973452352i,1.401679809572542
1523,-5784131.812642477i,1.402032937162795
1523,-5785443.872302113i,1.4023509712114506
