wvln,lambda,neff
1519,-3.1770710444412603E-9-5417957.437612763i,1.3098256609777377-7.680771266066068E-16i
1519,-5498297.371017157i,1.3292483507249433
1519,-5504950.499115836i,1.3308567867471468
1519,-5645187.119784281i,1.3647598814974196
1519,-5662684.278347404i,1.3689899308368756
1519,-5748390.736048921i,1.3897100119563046
1519,-5773493.382505242i,1.3957787363539307
1519,-5809629.019136948i,1.404514756280442
1519,-5839234.922828509i,1.4116721717489418
1519.9999999999998,6.458820795610138E-6-5343488.10755186i,1.2926726694631336+1.5624889494271842E-12i
1519.9999999999998,-3.0202954532430482E-9-5413758.867237966i,1.3096722563772063-7.306563255176413E-16i
1519.9999999999998,-5494057.134530964i,1.3290976529432073
1519.9999999999998,-5500713.237754907i,1.3307078675725907
1519.9999999999998,-5641040.005321272i,1.3646550896073473
1519.9999999999998,-5658552.771441569i,1.3688916994162872
1519.9999999999998,-5744307.221399804i,1.389637031213543
1519.9999999999998,-5769434.451664567i,1.395715698026081
1519.9999999999998,-5805582.500416503i,1.4044604718022236
1519.9999999999998,-5835218.265611482i,1.411629823157574
1521,6.523625373169258E-6-5339244.192505324i,1.2924957676810076+1.5792044493101337E-12i
1521,-2.9258759446904776E-9-5409565.611977887i,1.3095188019848498-7.082804492404458E-16i
1521,-5489822.121997119i,1.32894687003881
1521,-5496481.195456895i,1.330558863038778
1521,-5636898.114060179i,1.3645502420546147
1521,-5654426.485392459i,1.3687934167333666
1521,-5740228.926904834i,1.389564014314783
1521,-5765380.741865347i,1.3956526315822966
1521,-5801541.198882475i,1.4044061622257633
1521,-5831206.828564338i,1.4115874596953983
1521.9999999999998,6.582833460483951E-6-5335005.575886442i,1.2923187984771547+1.5945849179012944E-12i
1521.9999999999998,-3.0492680976410207E-9-5405377.661516751i,1.309365297839619-7.386358698460039E-16i
1521.9999999999998,-5485592.323182398i,1.3287960020271732
1521.9999999999998,-5492254.361997294i,1.3304097731609068
1521.9999999999998,-5632761.435770383i,1.3644453388549145
1521.9999999999998,-5650305.409955906i,1.3686950827994053
1521.9999999999998,-5736155.842336384i,1.3894909612749866
1521.9999999999998,-5761332.242860331i,1.39558953703321
1521.9999999999998,-5797505.1043088455i,1.4043518275649978
1521.9999999999998,-5827200.6014394155i,1.4115450813725317
1523,6.635342119250649E-6-5330772.247400644i,1.2921417618860565+1.6083603385730825E-12i
1523,-3.1864664868121546E-9-5401195.005565516i,1.3092117439803774-7.7237710211086445E-16i
1523,-5481367.727880476i,1.3286450489237218
1523,-5488032.727178576i,1.3302605979542055
1523,-5628629.960248151i,1.364340380023944
1523,-5646189.534914622i,1.3685966976256887
1523,-5732087.957493707i,1.389417872109122
1523,-5757288.944429137i,1.395526414389444
1523,-5793474.2064964855i,1.4042974678338696
1523,-5823199.5740159135i,1.411502688199079
1524,6.6822768153101934E-6-5326544.19678008i,1.2919646579421211+1.6208004967246209E-12i
1524,-3.004651817336326E-9-5397017.633861795i,1.3090581404459034-7.287847080601955E-16i
1524,-5477148.325911822i,1.3284940107438838
1524,-5483816.280830102i,1.3301113374339313
1524,-5624503.677316544i,1.3642353655774038
1524,-5642078.850078117i,1.3684982612234975
1524,-5728025.262202844i,1.389344746832159
1524,-5753250.836378159i,1.3954632636616082
1524,-5789448.495273047i,1.4042430830463248
1524,-5819203.736099804i,1.4114602801851313
1524.9999999999998,6.725548605753092E-6-5322321.413783529i,1.2917874866796837+1.6323665661130624E-12i
1524.9999999999998,-3.178440837341309E-9-5392845.5361697655i,1.3089044872748892-7.714434701737452E-16i
1524.9999999999998,-5472934.1071236245i,1.328342887503091
1524.9999999999998,-5479605.012808033i,1.3299619916153722
1524.9999999999998,-5620382.576825327i,1.364130295530996
1524.9999999999998,-5637973.345282608i,1.3683997736041065
1524.9999999999998,-5723967.746316547i,1.3892715854590743
1524.9999999999998,-5749217.90854048i,1.3954000848603012
1524.9999999999998,-5785427.960492885i,1.4041886732163145
1524.9999999999998,-5815213.077523748i,1.4114178573407674
1526,6.763681504653908E-6-5318103.888196322i,1.291610248133009+1.642698324473984E-12i
1526,-3.1012760967907827E-9-5388678.702280076i,1.3087507845059407-7.53208300009998E-16i
1526,-5468725.061389697i,1.3281916792167783
1526,-5475398.912995247i,1.3298125605138473
1526,-5616266.648650883i,1.3640251699004269
1526,-5633873.010390929i,1.368301234778786
1526,-5719915.399714172i,1.3891983880048473
1526,-5745190.150775788i,1.395336877996111
1526,-5781412.592036971i,1.4041342383577957
1526,-5811227.588147003i,1.411375419676054
1527,6.798374270112576E-6-5313891.609830244i,1.2914329423362867+1.6522061666657255E-12i
1527,-3.0452732012887E-9-5384517.122009772i,1.3085970321775788-7.40091522243854E-16i
